Jaheem Aaliyah 3658 nan 
Nasir Abagail 489 11332 
Kai Abbey 98 0 
Darwin Abbie 1624 nan 
Harold Abbigail 142 nan 
Zayne Abby 67 nan 
Levi Abigail 3129 nan 
Levi Abigale 3442 nan 
Levi Abigayle 4105 nan 
Rylan Abril 3264 nan 
Marcos Addison 1225 nan 
Garrett Adeline 1104 nan 
Alonzo Adriana 3020 10 
Levi Adrianna 2123 0 
Nasir Adrienne 4524 14998 
Darwin Aileen 1824 1819 
Lane Aimee 1269 -13676 
Garrett Ainsley 442 14235 
Gaige Aisha 1866 0 
Jamison Aiyana 2781 -24436 
Avery Aja 113 -29690 
Garrett Akira 3250 -21926 
James Alaina 1705 13747 
Alonzo Alana 3193 -11061 
Avery Alanis 174 nan 
Nasir Alanna 93 6 
Marcos Alayna 458 0 
Nasir Aleah 987 -23720 
Cruz Alejandra 628 nan 
Nasir Alena 242 0 
Mohamed Alessandra 414 14276 
Sheldon Alex 2407 0 
Gonzalo Alexa 3789 nan 
Brennan Alexandra 1430 -11478 
Gianni Alexandrea 2394 4 
Everett Alexandria 4342 14937 
Jahiem Alexia 1091 nan 
Nasir Alexis 2567 nan 
Carlton Alexus 1362 0 
Emanuel Alia 198 0 
Kenneth Alice 1230 0 
Sheldon Alicia 86 9 
Avery Alina 601 0 
Marcos Alisa 2998 0 
Dwight Alisha 4554 0 
Dorian Alison 1182 nan 
Emanuel Alissa 4251 nan 
Derrick Alivia 1448 nan 
Derrick Aliyah 3963 nan 
Porter Aliza 2052 nan 
Marcos Alize 219 -25168 
Santiago Allie 193 0 
Nelson Allison 1542 0 
Cason Ally 4074 -21644 
Gonzalo Allyson 80 -26770 
Christopher Allyssa 1583 nan 
Trevion Alma 1220 nan 
Christopher Alondra 439 5 
Kenneth Alycia 447 -20664 
Kristofer Alysa 4747 nan 
Kenneth Alysha 158 0 
Garrett Alyson 3847 -11020 
Josue Alyssa 998 928 
Carlton Amanda 470 -28688 
Nasir Amara 2040 5 
Gaige Amari 871 3 
Maverick Amaya 2185 nan 
Angelo Amber 956 0 
Frederick Amelia 623 nan 
Billy America 381 nan 
Nelson Amina 71 -12580 
Carlton Amira 598 0 
Mohamed Amy 2551 14732 
Derrick Ana 863 13390 
Matteo Anabel 3902 6 
Dontae Anahi 841 0 
Trevion Anais 2255 nan 
Frederick Anastasia 3951 14839 
Issac Anaya 3366 0 
Omari Andrea 1660 nan 
Caiden Angel 3382 13992 
Nelson Angela 1939 nan 
Aron Angelica 1148 -27452 
Dorian Angelina 4499 1 
Moshe Angeline 2352 8 
Augustus Angelique 745 nan 
Travis Angie 3055 8 
Brenden Anika 2997 4 
Jessie Anissa 3877 nan 
Omari Anita 1266 -12518 
Dorian Aniya 133 nan 
Dontae Aniyah 1108 1048 
Avery Anjali 175 12193 
Immanuel Ann 3674 3662 
Tylor Anna 623 nan 
Garrett Annabel 414 10791 
Guillermo Annabella 497 nan 
Peyton Annalise 4659 nan 
Nasir Annette 125 -21688 
Matteo Annie 1330 -23786 
Hugo Annika 85 nan 
Emanuel Ansley 618 592 
Damien Antonia 146 nan 
Cole Anya 2132 nan 
Avery April 182 0 
Collin Araceli 2623 14786 
Esteban Aracely 3929 14730 
Ernesto Arely 68 0 
Calvin Aria 349 -11488 
Caiden Ariana 960 nan 
Cole Arianna 3894 3876 
Kellen Ariel 109 13784 
Damien Arielle 2822 14431 
Cole Arlene 1005 -27074 
Neil Armani 122 -23088 
Darwin Aryanna 1917 1904 
Marcos Ashanti 1220 11647 
Gianni Ashlee 503 0 
Alexandre Ashleigh 2273 -12495 
Zachariah Ashley 1448 -25790 
Taylor Ashly 80 nan 
Damien Ashlyn 89 14711 
Maximilian Ashlynn 679 12640 
Jason Ashtyn 2528 -24218 
Travis Asia 1117 nan 
Tanner Aspen 4235 nan 
Damien Astrid 294 nan 
Derrick Athena 271 nan 
Leonel Aubree 3194 nan 
Augustus Aubrey 1283 -25530 
Calvin Aubrie 2639 nan 
Sheldon Audrey 426 11933 
Dashawn Aurora 140 2 
Billy Autumn 182 nan 
Neil Ava 1330 -26256 
Elijah Avery 1194 14057 
Adolfo Ayana 514 0 
Kenneth Ayanna 1109 nan 
Carlton Ayla 2932 -11974 
Santino Aylin 280 9 
Gerald Baby 4062 14361 
Levi Bailey 322 -21426 
Santiago Barbara 901 nan 
Jamison Baylee 140 0 
Sawyer Beatriz 357 14749 
Brennan Belen 34 6 
Sheldon Bella 835 nan 
Darwin Berenice 1522 11680 
Frederick Bethany 535 0 
Rylan Bianca 3047 13030 
Grayson Blanca 2002 -12711 
Antonio Brandi 708 -27838 
Dontae Brandy 2116 5 
Bret Breana 728 718 
Jahiem Breanna 1723 nan 
Blake Brenda 1363 nan 
Rodrigo Brenna 2477 nan 
Darrion Breonna 684 -13901 
Dashawn Bria 3447 10 
Maximilian Briana 307 3 
Gianni Brianna 1262 0 
Cole Brianne 689 0 
Aditya Bridget 630 -13649 
Immanuel Brielle 261 nan 
Keon Brionna 265 nan 
Ian Brisa 3940 14677 
Pierre Britney 815 nan 
Desmond Brittany 2564 6 
Diego Brittney 3224 nan 
Lane Brooke 867 857 
Ralph Brooklyn 2269 nan 
Keon Brooklynn 130 nan 
