Aaron 88 11534 1 74 2
Abdiel 32 12079 7 1 0
Abdullah 93 14195 4 22 1
Abel 71 14082 5 73 0
Abraham 70 14206 8 76 0
Abram 80 14277 3 76 0
Adam 59 11733 9 89 2
Adan 36 12939 3 75 2
Addison 43 11860 5 4 2
Aden 51 13427 6 72 1
Aditya 44 14544 8 63 2
Adolfo 55 14550 3 78 2
Adonis 7 12307 6 6 1
Adrian 55 10612 10 28 0
Adriel 64 13840 5 21 1
Adrien 53 11226 9 76 1
Agustin 12 10021 6 34 1
Ahmad 23 14051 1 41 0
Ahmed 33 12427 3 26 2
Aidan 39 10393 1 53 2
Aiden 77 11793 2 46 0
Alan 58 14202 2 97 0
Albert 89 10886 6 18 1
Alberto 63 11138 10 10 1
Alden 13 12121 7 70 2
Aldo 39 11016 3 100 2
Alec 96 10356 3 88 0
Alejandro 81 10168 6 26 0
Alessandro 87 10482 5 91 1
Alex 65 11059 2 57 0
Alexander 95 11357 3 1 2
Alexandre 62 14755 5 65 2
Alexandro 68 11804 4 73 1
Alexis 12 13742 6 100 0
Alexzander 57 11915 2 69 0
Alfonso 93 13525 7 82 0
Alfred 33 11916 7 98 1
Alfredo 79 12236 10 45 1
Ali 33 13274 5 19 0
Alijah 59 10974 5 28 1
Allan 38 11431 9 71 1
Allen 89 12861 2 84 0
Alonso 7 10000 4 39 2
Alonzo 38 14956 5 4 2
Alvaro 39 13698 10 52 1
Alvin 18 11655 5 2 1
Amari 59 10906 3 7 0
Amarion 24 11317 4 69 2
Amir 12 10968 10 78 1
Anderson 55 12096 10 100 0
Andre 90 13233 6 30 1
Andres 26 12718 7 65 1
Andrew 30 11394 3 55 0
Andy 45 10347 8 9 2
Angel 55 11501 6 27 0
Angelo 95 14193 9 79 2
Anthony 44 10741 5 39 2
Antoine 81 11473 6 6 2
Anton 34 13472 8 94 0
Antonio 41 14618 2 48 1
Antony 94 13992 2 5 0
Antwan 9 11930 9 40 1
Ari 75 11341 9 15 2
Ariel 15 13362 5 79 2
Arjun 98 10757 2 37 1
Armando 81 12299 6 89 2
Armani 98 11034 3 85 0
Arnold 95 13511 10 7 1
Aron 45 14834 2 52 1
Arthur 77 13881 3 87 2
Arturo 25 13443 1 77 2
Aryan 10 12627 4 79 2
Asa 72 13255 3 32 0
Asher 17 11423 10 65 2
Ashton 94 10937 3 34 2
Aubrey 42 11820 6 8 2
August 43 11426 5 96 1
Augustus 29 14603 4 12 0
Austen 94 14034 10 68 1
Austin 78 10787 10 26 1
Austyn 1 14144 1 59 1
Avery 87 14944 7 8 1
Axel 61 12922 9 58 1
Ayden 57 10760 8 9 0
Baby 84 14567 10 9 2
Bailey 83 10655 8 32 2
Barrett 100 14515 2 10 0
Barry 51 11222 7 5 2
Beau 15 13218 9 54 2
Ben 50 11198 4 86 2
Benjamin 44 13208 1 63 1
Bennett 47 12514 1 73 0
Benny 42 12419 8 18 0
Bernard 9 13614 1 24 2
Bernardo 40 12823 1 57 1
Bilal 91 12801 2 87 0
Billy 57 14847 8 16 2
Blaine 39 13822 1 15 1
Blaise 57 11544 5 36 1
Blake 56 14346 3 96 0
Blaze 24 10063 10 19 2
Bo 84 12822 9 97 0
Bobby 100 13056 10 85 0
Brad 62 12666 5 23 2
Braden 70 10858 9 90 2
Bradley 44 12305 6 12 0
Brady 25 13923 6 51 1
Bradyn 59 10038 10 11 0
Braeden 96 10683 9 20 2
Braedon 69 11513 8 67 1
Braiden 94 10560 4 36 0
Branden 94 12557 5 77 2
Brandon 43 11111 8 91 2
Braulio 25 13329 3 82 1
Braxton 2 11222 5 43 2
Brayan 95 14431 4 45 0
Brayden 98 12782 3 83 2
Braydon 46 14358 1 50 0
Brendan 27 11976 5 33 0
Brenden 80 14256 1 52 0
Brendon 49 12870 3 66 0
Brennan 74 13359 6 27 0
Brennen 73 10021 7 78 2
Brent 26 14209 6 51 1
Brenton 66 11708 9 54 0
Bret 58 11335 6 56 1
Brett 69 10755 2 95 1
Brian 57 10176 4 11 0
Brice 25 12349 6 23 2
Brock 26 10944 10 90 1
Brodie 34 11748 7 52 1
Brody 89 10550 9 85 0
Brooks 69 13979 1 63 2
Bruce 38 12305 3 48 1
Bruno 38 10929 10 63 1
Bryan 3 10921 4 27 2
Bryant 26 12891 5 14 2
Bryce 83 14187 3 59 0
Brycen 75 12765 1 50 1
Bryson 82 10955 5 27 1
Byron 89 13165 7 18 1
Cade 8 11848 4 55 2
Caden 95 10284 7 12 1
Cael 69 12379 2 67 0
Caiden 35 14621 4 19 1
