Jaheem Aaliyah 3658 10.4188 
Nasir Abagail 4118 0 
Kai Abbey 462 0 
Darwin Abbie 3309 16.0346 
Harold Abbigail 622 0 
Zayne Abby 2716 0 
Levi Abigail 3561 16.1942 
Levi Abigale 3442 16.1299 
Levi Abigayle 4875 16.875 
Rylan Abril 4116 0 
Marcos Addison 4433 16.6895 
Garrett Adeline 1104 0 
Alonzo Adriana 3020 10 
Levi Adrianna 4159 0 
Nasir Adrienne 4524 0 
Darwin Aileen 3774 36470 
Lane Aimee 1269 13020 
Garrett Ainsley 1220 5 
Gaige Aisha 1866 0 
Jamison Aiyana 2781 34508 
Avery Aja 113 29254 
Garrett Akira 4011 10513 
James Alaina 1705 0 
Alonzo Alana 3905 10405 
Avery Alanis 1113 13.4834 
Nasir Alanna 1007 8.40389e+221 
Marcos Alayna 683 7.14054e+204 
Nasir Aleah 3161 16166 
Cruz Alejandra 4703 4335.66 
Nasir Alena 2925 0 
Mohamed Alessandra 865 2.77603e+260 
Sheldon Alex 2407 0 
Gonzalo Alexa 3789 2941.68 
Bren0 Alexandra 1946 13797 
Gianni Alexandrea 2394 4 
Everett Alexandria 4342 0 
Jahiem Alexia 4429 12.1705 
Nasir Alexis 4786 4471.65 
Carlton Alexus 3811 1 
Emanuel Alia 3401 0 
Kenneth Alice 1230 0 
Sheldon Alicia 3064 0 
Avery Alina 3517 0 
Marcos Alisa 2998 0 
Dwight Alisha 4554 0 
Dorian Alison 1481 0 
Emanuel Alissa 4251 16.6154 
Derrick Alivia 1563 0 
Derrick Aliyah 3963 0 
Porter Aliza 2052 0 
Marcos Alize 2365 33776 
Santiago Allie 1255 0 
Nelson Allison 4278 0 
Cason Ally 4074 37300 
Gonzalo Allyson 1500 15806 
Christopher Allyssa 1421 383.913 
Trevion Alma 2000 14.9427 
Christopher Alondra 1025 0 
Kenneth Alycia 4710 38280 
Kristofer Alysa 4747 4321.98 
Kenneth Alysha 2906 0 
Garrett Alyson 3976 10446 
Josue Alyssa 975 30798 
Carlton Amanda 506 14568 
Nasir Amara 4133 0 
Gaige Amari 2928 0 
Maverick Amaya 2185 15.5072 
Angelo Amber 3847 2.23525e+037 
Frederick Amelia 3293 2922.82 
Billy America 381 0 
Nelson Amina 2382 33768 
Carlton Amira 3394 6 
Mohamed Amy 2608 0 
Derrick Ana 2446 5 
Matteo Anabel 3902 6 
Dontae Anahi 2570 4 
Trevion Anais 2255 15.2167 
Frederick Anastasia 3951 0 
Issac Anaya 3366 0 
Omari Andrea 2600 15.6489 
Caiden Angel 3950 0 
Nelson Angela 1939 14.8815 
Aron Angelica 1148 31492 
Dorian Angelina 4499 5.76987e+057 
Moshe Angeline 2352 8 
Augustus Angelique 745 74.4846 
Travis Angie 3055 8 
Brenden Anika 3521 0 
Jessie Anissa 3877 2879.88 
Omari Anita 2264 33888 
Dorian Aniya 2220 0 
Dontae Aniyah 2951 11864 
Avery Anjali 2914 0 
Immanuel Ann 3674 15584 
Tylor Anna 128 0 
Garrett Annabel 4597 3.7885e+065 
Guillermo Annabella 614 541.159 
Peyton Annalise 4692 4206.08 
Nasir Annette 4171 16076 
Matteo Annie 2911 11789 
Hugo Annika 2428 0 
Emanuel Ansley 813 30722 
Damien Antonia 1464 14.2473 
Cole Anya 3288 2813.08 
Avery April 4009 0 
Collin Araceli 2623 0 
Esteban Aracely 3929 0 
Ernesto Arely 487 0 
Calvin Aria 3078 35152 
Caiden Ariana 960 13.5092 
Cole Arianna 3894 15798 
Kellen Ariel 1407 0 
Damien Arielle 3092 0 
Cole Arlene 1220 15727 
Neil Armani 2926 35052 
Darwin Aryanna 3257 35446 
Marcos Ashanti 4475 0 
Gianni Ashlee 4343 14.3891 
Alexandre Ashleigh 2273 11585 
Zachariah Ashley 1010 27926 
Taylor Ashly 345 0 
Damien Ashlyn 54 1.43502e-065 
Maximilian Ashlynn 2747 5 
Jason Ashtyn 2528 33922 
Travis Asia 3659 0 
Tanner Aspen 4235 0 
Damien Astrid 1481 14.2777 
Derrick Athena 4381 0 
Leonel Aubree 2742 1648.98 
Augustus Aubrey 1895 15066 
Calvin Aubrie 2639 15.725 
Sheldon Audrey 3332 0 
Dashawn Aurora 2630 2 
Billy Autumn 968 0 
Neil Ava 1330 31884 
Elijah Avery 1585 0 
Adolfo Ayana 1778 6 
Kenneth Ayanna 4532 16.7013 
Carlton Ayla 2932 11704 
Santino Aylin 453 693 
Gerald Baby 4062 8.68999e+092 
Levi Bailey 4303 37518 
Santiago Barbara 901 13.1997 
Jamison Baylee 2634 0 
Sawyer Beatriz 357 2.27636e+146 
Bren0 Belen 1214 1176 
Sheldon Bella 4558 16.7778 
Darwin Berenice 4793 0 
Frederick Bethany 4560 3.41632e+105 
Rylan Bianca 5007 1 
Grayson Blanca 2002 11369 
Antonio Brandi 708 30302 
Dontae Brandy 2116 5 
Bret Breana 1093 18520 
Jahiem Breanna 1723 10.9767 
Blake Brenda 1786 1124.44 
Rodrigo Brenna 2477 0 
Darrion Breonna 684 12795 
Dashawn Bria 3447 10 
Maximilian Briana 307 7.20049e+010 
Gianni Brianna 4693 4 
Cole Brianne 4745 9.21598e+224 
Aditya Bridget 908 13047 
Immanuel Brielle 4501 4243.55 
Keon Brionna 2624 0 
Ian Brisa 3940 0 
Pierre Britney 815 0 
Desmond Brittany 2564 6 
Diego Brittney 3224 16.1673 
Lane Brooke 4576 10691 
Ralph Brooklyn 2269 1195.95 
Keon Brooklynn 130 0 
Pranav Bryana 640 0 
Collin Bryanna 2723 15853 
Kieran Brynn 1877 6.14077e+265 
Trystan Cadence 432 744 
Taylor Caitlin 119 1.98626e+044 
Chandler Caitlyn 3526 15145 
Ronald Calista 1201 27624 
Tyrone Cameron 2534 15525 
Derrick Camila 2034 9 
Immanuel Camille 4292 15917 
Everett Camryn 4800 15287 
Chris Candace 3305 10143 
Kieran Candice 2863 14733 
Hector Cara 2965 2.09906e+100 
Jaron Carina 2559 9873 
Lorenzo Carissa 629 26298 
Aditya Carla 3502 10408 
Maurice Carlee 2185 0 
Francisco Carley 1746 14.9427 
Chad Carli 261 767 
Cason Carlie 2640 0 
Travis Carly 3492 10008 
Kieran Carolina 2413 15424 
Darwin Caroline 2238 33398 
Adolfo Carolyn 61 5 
Kenneth Carrie 4959 16.8845 
Maurice Carson 966 806.89 
Francisco Casandra 2313 33702 
Malachi Casey 463 24922 
Gian Cassandra 3842 0 
Sammy Cassidy 1569 11870 
Frederick Cassie 3179 0 
Brayan Catalina 2067 1209.73 
Garrett Catherine 3652 7 
Kieran Cayla 743 0 
Shaun Cecelia 358 0 
Dontae Cecilia 3792 10471 
Kamron Celeste 2886 3.58291e+280 
Enrique Celia 2511 15.7033 
Easton Chana 4340 7.22597e+086 
Brayan Charity 2711 0 
Kieran Charlotte 3397 15309 
Frederick Chasity 4827 4313.23 
Santiago Chaya 1099 30830 
Octavio Chelsey 3960 10507 
Keven Cheyanne 1227 0 
Josue Cheyenne 2736 0 
Cason Chloe 4601 0 
Quentin Christa 1659 28364 
Ulysses Christian 2752 0 
Neil Christiana 3766 36626 
Maurice Christina 4135 7.92424e+089 
Darian Christine 3489 2495.9 
Gavin Christy 2791 1957.73 
Judah Ciara 1549 32346 
Braydon Ciera 2228 15451 
Keon Cierra 3113 9971 
Leonardo Cindy 2865 15.9137 
Jairo Citlali 2786 5 
Noah Claire 1319 1.71997e+061 
Trystan Clara 924 749.056 
Judah Clare 1988 0 
Reed Clarissa 1222 0 
Gregory Claudia 2029 11435 
Jeff Colleen 3454 2161.13 
Elijah Cora 4057 37420 
Roland Corinne 3232 1 
Maurice Courtney 586 802 
Kristofer Cristal 4411 0 
Damien Cristina 3618 16.2812 
Jordon Crystal 451 25908 
Ralph Cynthia 2325 15345 
Alonzo Daisy 3059 0 
Gael Dakota 3371 0 
Chris Damaris 2926 14.9416 
Victor Dana 2511 10114 
Jesus Dania 4046 0 
Ty Daniela 160 14399 
Noah Daniella 3505 6 
Santiago Danielle 4037 16.5065 
Esteban Danna 4416 3.19687e+092 
Gael Daphne 3152 2438.54 
Jason Darby 2915 15.8826 
Alexandre Dasia 4426 2.65829e+086 
Braydon Dayana 594 0 
Romeo Deanna 3473 2787.49 
Elijah Delaney 3681 36648 
Sincere Delilah 1836 0 
Esteban Denise 4186 3098.99 
Cason Denisse 2436 15.4409 
Lane Desirae 2399 0 
Reuben Desiree 1971 15175 
Ernesto Destinee 932 27150 
Tanner Destiney 3304 10 
Darian Devin 1776 4.90335e+236 
Jase Devon 348 11493 
Gael Devyn 1882 0 
Corey Diamond 2319 14.5309 
Chad Diana 1949 0 
Elian Diane 1186 14.3448 
Judah Dianna 1547 32364 
Ralph Dominique 2191 0 
Davin Donna 1411 12.461 
Corey Dorothy 3565 15.7849 
Julio Dulce 1365 1.11993e+263 
Kamron Dylan 3721 15352 
Easton Ebony 2965 4.67537e+061 
Pranav Eden 3013 14903 
Adonis Edith 2139 15.1522 
Lamar Eileen 1153 28920 
Elian Elaina 466 12.7432 
Dante Eleanor 4200 0 
Lorenzo Elena 2109 0 
Peter Elisa 1516 4.82828e+278 
Tyrone Elisabeth 137 660 
Emanuel Elise 3977 37058 
Cristopher Elissa 1026 1.04799e+250 
Cedric Eliza 622 30260 
Sawyer Elizabeth 4763 15208 
Justus Ella 4446 0 
Abdullah Elle 1631 13.4453 
Leonardo Ellie 2322 15.4533 
Jabari Elyse 776 28314 
Marvin Elyssa 3227 0 
Bryce Emely 3722 15293 
Judah Emerson 3582 0 
Declan Emilee 135 630 
Dashawn Emilie 3683 10408 
Cameron Emily 2854 2 
Sabastian Emma 1238 28100 
Joe Erica 3322 15182 
Abram Erin 1748 14970 
Dominick Esmeralda 1800 0 
Adriel Esperanza 2684 15.424 
Osvaldo Essence 3212 10497 
Darion Estefania 3540 14066 
Harrison Esther 1081 0 
Brent Eva 2188 14.4582 
Manuel Eve 1336 28570 
Semaj Evelin 645 2.16893e+046 
Roland Evelyn 1714 11354 
Desmond Fabiola 4091 8.38629 
Neil Faith 1230 31568 
Enrique Felicia 2380 33848 
Joshua Felicity 119 13551 
Garrett Francesca 4540 10630 
Felix Gabriela 699 8.91756e+082 
Jaylan Gabriella 1938 14.6529 
Blaine Gabrielle 3464 16.0504 
Luca Galilea 2392 11985 
Nathanael Genesis 1126 5.56023e+110 
Ahmad Genevieve 3957 14462 
Ezekiel Georgia 1282 3.20818e+168 
Jack Gia 3047 10 
Jaxson Giana 2677 31590 
Bryce Gillian 758 14377 
Jamar Gina 1487 11412 
Jahiem Giovanna 4153 0 
Keon Giselle 3762 10621 
Dylan Grace 2822 0 
Marcel Gracie 2665 0 
Arthur Graciela 1113 11270 
Trystan Gretchen 3321 15221 
Jaylan Guadalupe 2977 15.6798 
Declan Gwendolyn 2150 0 
German Hadley 1387 11861 
Paxton Hailee 1466 13.4162 
Maxim Hailey 3048 0 
Sabastian Hailie 412 4.50472e-082 
Javon Haleigh 2079 15068 
James Haley 2181 14046 
Emanuel Halie 4972 0 
Moses Halle 3489 0 
Rodrigo Hallie 3732 0 
Josue Hana 4091 36954 
Finn Hannah 3045 35480 
Malachi Harmony 271 2.72743e-120 
Rolando Haven 2042 0 
Pranav Hayden 3919 0 
Dion Haylee 1889 13521 
Jaheem Heaven 2079 4 
Noah Holly 1446 8 
Abraham Hope 2837 4.47127e+233 
Moses Iliana 3737 0 
Arthur Imani 1350 11514 
Kaleb India 3368 0 
Ronald Ingrid 3421 15.7088 
Jason Ireland 2632 15.6743 
William Irene 2848 10664 
Malcolm Iris 570 0 
Moses Isabel 3752 10446 
Brooks Isabela 1957 12031 
Derick Isabell 3601 3.98952e+045 
Austyn Isabella 2532 14.9267 
Dominick Isis 1661 0 
Gary Ivy 2665 0 
Arnold Iyana 1642 0 
Gael Iyanna 2851 2437.99 
Cruz Jaclyn 4295 3230.97 
Keegan Jacquelyn 3149 0 
Kristopher Jaden 3749 8623 
Alan Jadyn 2083 981.002 
Declan Jaelyn 1466 1.92087e+173 
Angelo Jaida 3082 0 
Harrison Jaiden 3402 35838 
Stefan Jaidyn 3487 0 
Roland Jakayla 51 2.83075e+023 
Kennedy Jamie 3135 10459 
Nathaniel Jana 4518 5.94164 
Ralph Janae 3938 2786.05 
Terry Janessa 1083 11619 
Abel Janet 2807 2166.46 
Damien Janice 4729 38028 
Bryce Janie 3222 0 
Keven Janiya 2576 9901 
Frankie Jaquelin 1754 0 
Diego Jaqueline 2030 15.1898 
Elliot Jasmin 1345 2.50332e+300 
Bernard Jasmine 1307 11748 
Darian Jasmyn 2745 15712 
Levi Jaycee 4593 38068 
Tyrell Jayda 4176 7 
Rowan Jayden 814 0 
Ignacio Jayla 2082 1586.13 
Sean Jaylene 4394 4065.79 
Jasper Jaylin 3603 7.01674e+020 
Brooks Jaylyn 1445 11533 
Semaj Jaylynn 715 27270 
Devante Jazlyn 2757 0 
Moshe Jazmin 4631 9 
Bryan Jazmine 3030 12806 
Keegan Jazmyn 917 3.3665e+072 
Dexter Jazmyne 2119 0 
Jett Jeanette 1856 7 
Kieran Jenifer 3524 15434 
Davion Jenna 2317 1.022e+185 
Gary Jennifer 933 10.4729 
Donavan Jenny 1828 14.9955 
Darrin Jessica 3350 0 
Mike Jessie 1132 0 
Elian Jillian 3040 35360 
Ethan Joana 539 13729 
Oswaldo Jocelyn 2747 14627 
Moses Joelle 2560 410.429 
Brayan Johanna 4045 2800.12 
Trystan Jordyn 4055 2743.16 
Lawson Joselyn 1270 802.961 
Tyrell Josephine 2332 12024 
Derick Josie 3165 10606 
Nestor Joslyn 2942 2 
Chandler Journey 3690 3438.32 
Jayce Joy 3619 7 
Howard Judith 2389 0 
Jonatan Julianna 2883 31750 
Blaine Julianne 2787 15.5337 
Kobe Julie 2678 9 
Elian Juliet 4212 0 
Shamar Juliette 2676 10506 
Davis Julissa 1882 0 
Leo Justice 349 10 
Layton Justine 2667 0 
Morgan Kacie 71 0 
Rolando Kaela 3181 2077.98 
Kobe Kaelyn 2300 10051 
Moses Kaila 2390 11655 
Maverick Kailey 3243 35790 
Marc Kailyn 618 181 
Fred Kaitlin 786 13327 
Enrique Kaitlyn 2025 33260 
Neil Kaitlynn 2182 15.3806 
Lisandro Kaleigh 154 13120 
Kolton Kaley 1137 0 
Jonatan Kali 2133 14.8908 
Pierre Kallie 4239 6.59512 
Eli Kalyn 297 13001 
Oswaldo Kamryn 2958 0 
Jaxson Karen 2046 14.9529 
Davin Kari 3225 0 
Javier Karissa 1707 0 
Rahul Karla 1813 490.162 
Morgan Karlee 2144 5 
Zion Karli 1729 14.7667 
Rey Karlie 1235 0 
Isaiah Kasandra 425 32.8833 
Reuben Kasey 1864 15051 
Ali Kassandra 217 51.0499 
Jeff Katarina 3738 1.82408e+193 
Luc Kate 1761 0 
Jesus Katelynn 1593 14746 
Connor Katharine 1158 0 
Jack Kathleen 1178 11436 
Reed Katrina 1696 545.007 
Rahul Katy 1254 0 
Noah Kaya 3536 2 
Koby Kaylee 4006 2.51544e+030 
Alden Kayley 1691 12967 
Noah Kaylie 1767 11490 
William Kaylin 1747 9999 
Heath Keeley 2911 0 
Noah Keila 3984 10727 
Julian Keira 910 153.631 
Edward Kellie 2429 10455 
Arthur Kelly 3535 9.15906 
Joe Kelsey 3583 2471.96 
